group_id,name,event_type,event_date,place,status,no_match_status,profile_id,candidate_decision,exact_date,exact_locality,exact_relatives,missing_for_confirmation,profile_url
fmp-glasgow-e282854aa0b5,Elspeth Glasgow,baptism,02 Mar 1606,Mid Calder,confirmed_match,not_applicable_confirmed,Glasgow-1054,confirmed_match,True,True,True,,https://www.wikitree.com/wiki/Glasgow-1054
fmp-glasgow-e36059d2d68b,Elizabeth Glasgow,baptism,15 Dec 1616,Glasgow,no_wikitree_match_found,no_wikitree_match_found,,no_candidate,,,,,
fmp-glasgow-e63d7cbe8e87,John Glasgow,marriage,25 Jan 1618,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1030,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-1030
fmp-glasgow-e63d7cbe8e87,John Glasgow,marriage,25 Jan 1618,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1561,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-1561
fmp-glasgow-e63d7cbe8e87,John Glasgow,marriage,25 Jan 1618,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3296,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3296
fmp-glasgow-e63d7cbe8e87,John Glasgow,marriage,25 Jan 1618,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3342,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3342
fmp-glasgow-e68eb8704ba2,Archibald Glasgow,apprenticeship,23 Oct 1639,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1101,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1101
fmp-glasgow-e68eb8704ba2,Archibald Glasgow,apprenticeship,23 Oct 1639,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3078,possible_candidate,False,False,True,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge,https://www.wikitree.com/wiki/Glasgow-3078
fmp-glasgow-ef230e20e0e0,Barbara Glasgow,marriage,21 Nov 1616,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3182,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3182
fmp-glasgow-ef230e20e0e0,Barbara Glasgow,marriage,21 Nov 1616,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3302,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3302
